,cons,pros
1101,"-The staff; when they're not pounding Uber's asinine and excessive 14 company values into your head, they are spending absurd amounts of time telling you about how negative press or public opinion is just wrong. \r\n- From the moment you begin, you are expected to fully adhere to any and all rules and regulations. There is no space for learning curves. \r\n-You never know who your supervisor is until you complete four weeks of training. \r\n-The shifts you have to or could work are entirely different than the shift you are trained to work.",Benefits for employees are exceptional
1102,The perks for new hires have changed a little. \r\nNo stock participation\r\nLess Uber credits,Free Food!!!\r\nA healthy balance of diversity.\r\nGreat benefits!\r\nNice work and family balance. \r\nOffice view is amazing!
1103,I have nothing to say about what can be bad on this company.,I love everything about being part of this team and i feel myself comfortable to make my decisions. I always thought that a good work can be done when the employees are happy on their workplace.
1104,Things outside of your hands can sometimes cause lots of difficulty during the workday.,Uber has a great company culture of inclusion and diversity. It's a great place to be right now!
1105,Managers didn't help with improving skills on am individual basis. Didn't feel like their policies were customer friendly,"Great co workers, fun place to be at times., catered lunch everyday plus a great downtown location"
1106,- we're definitely experiencing a lot of growing pains. there's a lot of changes that needs to take place to get us to where we need to be from a culture/work environment perspective but what's kept me optimistic is that the leadership team is receptive to change and are in fact a huge advocate for it. It's been a tough road the last few months and still a lot of work ahead but we're definitely seeing changes and progress.,"- definitely the people; you're surrounded by smart, talented, driven co workers. \r\n- professional growth-- there's always interesting & challenging problems to work on\r\n- growth of the company, at the rate we're expanding globally, it's faster than any other company ever, yet still a strong business model that is sustainable.\r\n- great benefits, catered lunches everyday, uber credits every month"
1107,"No surprises here: Travis. The leadership. Performance. Growth. It's all as bad as it seems, if not worse. The longer you've been there, the more legacy actually can hold you back. The glass ceiling actually feels especially low for women.","I arrived early enough (2014) to carve out a one-of-a-kind role for myself. Uber was young enough to still truly feel like a startup and for it to attract truly brilliant employees. I was, and still am, inspired by my peers and the approach and speed at which they solve problems."
1108,I will let you know when I find out,-Great team work\r\n-Amazing benefits\r\n-A job that encourages people to be themselves as well as celebrating diversity
1109,Sometimes it feels to me that the company should have more age diversity. It seems to me that Teams should have some more senior people.,"Very agile, fast paced company. I love how good ideas scale fast in here."
1110,"Uber is about as toxic as it can get in terms of places to work.  There's a macho, fratty atmosphere and everyone is expected to do battle for everything. You compete against your own teammates and are forced to be an aggressive to survive and climb the ranks. Even doing things that are ethically wrong are encouraged, so long as it's good for the business/growth.",It's a fast-paced environment with little oversight on your day-to-day work
1111,Run by a sociopath - culture is highly toxic and deprrssing. The recent suicide is a prime example of the type of company Uber is. It may win but management here does not care about creating a great place to work.,Great product market fit - strong growth
1112,Below-average salary for associates and interns,"Great culture, good learning opportunities"
1113,"Uber moves quickly. Most of the time that means having exciting and challenging projects. However, that also means projects occasionally breaking down. In those instances, it would be more useful for team members to take a step back and figure out how to move forward together.","Brilliant people, challenging opportunities, and the ability to be a part of a rapidly expanding global company."
1114,It is still pretty young and some processes still need work.,There's so much fresh energy here. All working towards the goal of trying to provide the convenience and comfort that technology offers to the community where they are involved in.
1115,Hours can be long,Treat employees well. Respect views & ideas to improve processes. Non over bearing management.
1116,"The early hours can present a challenge, but nothing impossible","Great atmosophere, catered lunch/dinner daily, gym rembursement, casual work environment, complimentary Uber trips"
1117,uber drivers are sometimes difficult to deal with,"great company atmosphere, and great benifits"
1118,"Not necessarily a personal experience, but from what I've had peers encounter: a lot of young managers who are learning to be responsible for a large group.",A strong team concept where voices are heard. Not a single day goes by that I don't feel like I'm BUILDING something truly impacting people's lives.
1119,"Poor middle-managers, constant restructuring, good ideas take a backseat to politics and clicks.",Good perks for full-time employees and very talented people in the office.
1120,Some internal stuff needs to get improved but it can be healed by time.,Working for Uber is attracting. It's such a fascinating fast-growing company with values.
1121,As any startup still no clear roles & responsibilities,Transparency of communication \r\nCulture eliminating power distance \r\nFast paced environment\r\nDynamic
1122,None for me so far.,"The culture is really great, despite the current views in the media.  Everyone was super welcoming and has made me feel like a integral part of the team from day 1."
1123,"It's a lot of work, but definitely rewarding!",The team spirit at all levels
1124,Lots of freedom and a relaxed pace often means lots of time for an insecure recent college grad to think they're under-performing.,"Very friendly coworkers and a trusting company culture with lots of opportunities to take advantage of. The stars have aligned: I like my manager and his style, I like the team I'm on, and I like the work that we're doing within the Uber Advanced Technology Group. My manager is very flexible and emphasizes the balance of life and work."
1125,Work hours are insane. Some days went up to 12-16 hours and there were times were I had to work weekends. There is also a disconnect from old employees with large equity shares in the company and newer employees. They see newer employees as a potential threat and this can sometimes cause strenuous office politics.,"Great culture. Strong start-up feel to the company and my co-workers were dynamic. Workplace was open-space, meaning you're not stuck in a cubicle and can sometimes work remotely. Managers were great at communicating as there's a very open communication culture in which they will try to work with your issues."
1126,I have not come across any cons in my time here.,A very positive atmosphere.
1127,"The systemic paternalism and bro-culture is absolutely real. If you're a woman, be prepared to be chronically cut off mid-sentence, 'forgotten' off meeting invites and second-guessed. Depending on the team you're in, you'll be the only woman around. If you're unfortunate enough to enter a team that's been together for a long time, you have to really work hard to be included, but don't be too pushy - or else you'll get dinged for it on your Performance Review. I kind of feel like you can't win.","Super-smart colleagues, incredibly interesting projects, wonderful drivers. The Susan Fowler post opened up a gaping wound in the company's inner workings that I'd say are being genuinely worked on with very deep introspection. The technology is staggering and I really feel we get a bad rap from the media (i.e. we are NOT evil)!"
1128,"I work in a good team, so i don't have any notable cons.\r\nHowever, all the negative media attention that Uber has been receiving in the past few months is sometimes disheartening.","I have really enjoyed my time at Uber so far.\r\nI get to work on very challenging problems, with talented co-workers and projects which have high potential impact and visibility.\r\n\r\nI love the extremely fast moving pace of the company. I have worked at some of the top tech companies in the past, but the pace at which Uber moves something else."
1129,"Rapid growth has resulted in some lag in organizational development. In other words, lots of developers without much framework like PMs or tech writers to help guide and amplify everyone's contribution. It can be challenging to work someplace that receives significant negative press.","Interesting new technology, kind intelligent co-workers, strong potential financial upside, yummy snacks, reasonable work-life-balance."
1130,Lack of alignment in some orgs. Lots of re orgs. Not all Managers are fare. Favorites and friends benefit. Managers are not technical don't know enough about candidates and perf is in their hands as they represent you in calibration. Culture is more like deliveries over employees well being. You are expected to stretch indirectly through peer pressure. Highly competitive environment.,Amazing tech stack. Good challenges. Good product offering. Good tech infrastructure. Great energy and peers. Rapidly changing environment. Leadership is open to feedback and seems like they will act on it.
1131,It is really innovating organization which has become the need of almost everyone.,UBER is an amzing company
1132,If I can find any i will be sure to let you know.,Amazing quality of life after working with Uber. Never have to really worry about food or finances.
1133,Because they promote within so much and most of Uber employees are in their 20's their can sometimes be managers that are a tid bit inexperienced.,"Amazing Benefits, Free Lunch, Free Uber Rides, truly amazing culture, stable, quickly to promote, growing fast, competitive pay for entry level positions, very nice office, gym reimbursement, and lastly full of young people."
1134,They stole my copy of Susan Fowler's book from my desk.,"high impact projects, good technologies, interesting people to work with"
1135,"• Still developing in Brazil, but I know it is just for now",• You have an excellent training\r\n• You have the right tools to work\r\n• You can be yourself\r\n• People at Uber are actually teamworkers
1136,"The company is very far from home. I just would like to change my working time because it's being hard to do other things, like gym and so.","I feel respected as a person, I'm constantly receiving coaching and estimulation to get better. I really love working here."
1137,The downside is the same as the up. Uber's culture brings out the worst in employees who aren't conditioned for competitiveness.,Uber's work environment is increasingly more competitive everyday and it's encouraged through Uber's core principles.
1138,Constant policy changes (might not be a bad thing for some people),"Great benefits, competitive pay, awesome atmosphere and love the management"
1139,"Compensation is heavily tied to the growth (stock) in the company, less salary than other firms seeking competitive talent.","The amount of data here is truly amazing. If you are a data geek or someone that enjoys analytics this is a great company to work for. \r\nPeople/Culture fit is a huge part of the interview process. They are looking for open-minded individuals, that can help bring creative ideas to teams while also being a team player."
1140,"Infra poor for big data, (overloaded data center hardware, vmware overloaded, do not monitor the network infra, overload the physical machines even when the infra team swears to stop, ML, availability, SLA/OLA compliance\r\nSome managers good (my original hiring manager), others suck (my second manager hates contractors, does not like women who speak out of turn)\r\nBasically Uber is a low cost operation.",Sounds good on resume. Downtown SF if you are local. I really don't have 20 positive words to list so this is just verbiage to comply with
1141,"Point system is strict, and takes a year to fall off. Although you can move departments, there really isn't an option to move up. They drill it in that you can move up, and its easy, to move up; That's not true. No room at desks. We sit at long tables with no dividers or space. It can sometimes be loud and hard to make important calls.\r\n  Its trendy, and a lot like high school. Rumors, jocks and cheerleaders. A lot of fraternization, and favoritism by management. Others can be harsh and judge your work..    \r\n   Most management have no idea what they are doing and spend a lot of time chatting, or texting on their phone. If there is an issue, good luck. There are a lot of things that take place that would NEVER happen at another employer. Very young, and mostly inappropriate. \r\n    There are a lot of changes currently happening and big adjustments. I'm hopeful that the immaturity will be addressed and the office can become more professional.","They have great health benefits, and the pay scale just changed and is reasonable, but not livable for anyone with responsibilities. Dress is causal, and they cater lunch daily. There is a stocked kitchen that is impressive, and free for employees. We also get Uber credits monthly which are used to pay for UberEats orders. The location is central, with great views of downtown. Leadership is lax, and not much is taken seriously. There are nearly 50 shifts to choose from, though most are at odd hours, during days, evening, nights and all holidays. Its open 24 hours. \r\n   They are awesome with time off, and allow you to go negative. They also offer parent time which is for school related events like parent teacher or the dreaded recorder concert. They are involved in a lot of community events and things happening around town."
1142,"Poor Leadership with no experience which makes for poor quality of work being produced. Its young, and trendy which results in immaturity and drama.  No space between desks which so speaking on the phone awful. \r\n  They preach upward mobility within, however its more lateral. Education isn't valued here","They are adjusting the pay, free food, perks, great health benefits.  They are generous with time off, and they offer parent time as well which is nice."
1143,"The payment had a delay for some weeks, last 2 weeks was ok. Sometimes is not possible to be trained in time for the needed department .","Great place to work, with an enviroment to help the needy on the platform. Nice structure of resources and kindy people in all of the LOBs."
1144,"- Uber has a bad reputation and is constantly the subject of controversy, protests, and negative press. While Uber is not perfect, I do believe the company has matured since its early years and leadership does take these matters seriously from what I've seen. If you can't handle seeing a negative headline about your employer, Uber may not be for you, but for those that can handle it and want to make a positive impact on our culture and reputation, this shouldn't be an issue.\r\n- Teams and people can shift around frequently as the company continues to grow. This is probably a good thing overall for the company but it can feel jarring at times.\r\n- People work hard–not necessarily because of deadlines but because many of their coworkers are smart, driven, and hard-working people so the bar is set high (that's my experience at least). This is ultimately what you make of it–many people stay late but many people also get into work past 10:00am. Remote work is pretty flexible too which is a plus.","- Uber has hired some of the best people in the industry. I've never worked with more intelligent and driven people.\r\n- Compensation, perks, and benefits were very competitive with companies of similar size.\r\n- The technology stack has matured considerably after some initial growing pains. Engineers can provision infrastructure and build/deploy services without excessive red tape.\r\n- Surprisingly strong, positive cultural values. They are really woven into every day work–used as hashtags, referenced by leadership, etc. Most other companies just create a list of cultural values and forget them."
1145,"The importance of staff at certain times is low, and the knowledge of managers on business and personnel management can be improved.",Resolve customer concerns in the best way.\r\n\r\nPersonal help.\r\n\r\nMedical and transportation benefits.
1146,I dont have anytihing bad to say. \r\nI love this job and i want to make carrer here.,"Have a good enviroment, good partners and good oportunities. \r\nThe place is really beutiful and have this familiar tone tha people love."
1147,"working time its long enough i think should be a way to keep personal stuff in the building, like tooth brush, toothpaste, personal care stuff like a locker.",Best Ambient to work with.
1148,- A misinformed public perception / lack of positive PR can be taxing on employee morale\r\n- Big hours as a result of running lean teams\r\n- Extremely fast paced,"- Challenging and rewarding work, solving problems that haven't been solved before\r\n- Work alongside some of the smartest people in the world\r\n- Encouraged to take big bold bets\r\n- You get to see your idea all the way through and feel like you're having an impact on the business / world"
1149,"Growth in company, Better communication.","Great coworkers. Benefits, pay is decent, and work life balance up to par."
1150,"Communication, last minute updates hours before product launches, lack on timely response from other lines of business","Free food, great benefits, work with cool people that care about the company and the drivers"
1151,Very fast paced and long hours,"Great people, lots of teamwork, and Uber is very much so a values based company who really cares about its employees."
1152,Non-responsiveness from some upper management (pretty much to be expected),"Fantastic benefits, caring management, exciting work"
1153,"Low pay, low mobility, low morale.",It has a lot of money to make big bets.
1154,Long working hours because of lots you can truly own and resolve. Perks are not as good as big companies.,"Really passionate employees who have strong believe in the Uber causes. Fast forwarding futuristic vision held high by executives. Even with really bad media presses in the recent one month or two, the company is still very resilient to the distractions. After a thorough cultural change, Uber is going to be a proud place for the talents to realize their dreams. Everyone can be yourself, without worries about politics."
1155,better training for the new and current employees,"flexibility, great environment, room for growth, constant learning, relax, perks"
1156,"On-going changes, but it's an advantage at the same time! Always learning something new.",The flexibly of schedule is perfect for my current student status.
1157,Schedules. But of course that's almost with every job.,Everyone is very friendly. Its more like a second home than a job.
1158,Toxic Culture is killing the Eng org\r\nNo clear direction,Interesting Problems\r\nGreat Team/People to work with
1159,"Human resources, mobility, employee support, work schedule.","Benefits, physical structure, environment, culture, onboarding."
1160,To be honesty their is no cons for me personally about working for uber. I love everything about this company,Uber is a great company to work for. Friendly Co-workers and everyone is always will to help out each other to make sure everyone has the help they need to do their job.
1161,"The opportunities to move up are very few. They indicate that there is plenty of oppotunities to grow and move up in the company, but it hasn't happened for the 6 months I've been there. The work schedule is never set. It can change in a month, in a few weeks or in a few months. The company doesn't really provide any feedback as to how we are doing. You would think we would get a 6 month review and possible increase in pay...nope that hasn't happened.",Uber takes care of its employees well. There are plenty of nice amenities they provide. You get a lot of discounts from places.
1162,"culture, culture, culture, work-life balance, growth rate","perks, couches, chairs, technology, smart people"
1163,"High stress level, out-of-touch management, poorly developed processes, minimal training, and a false sense of community.","Decent pay, great benefits, supportive peers."
1164,Too much favoritism. And no room for growth. Promises they never keep. They can't handle strong minded employees.,Stay busy. If you love helping people and have massive empathy.
1165,Intense pressure to get all things done immediately leading to high levels of burnout\r\nPerformance reviews could be more transparent,"Energetic, can-do attitude\r\nLow levels of bureaucracy\r\nAbility to clearly see the impact of your work in the environment around you"
1166,Share info a little slower,Awesome place to work with a great culture
1167,There's always people who don't take so much care about the place.,They actually take care of the employees.
1168,"Low pay rate, feedback and training","benefits and environment, culture and values"
1169,All jobs are not like this one,culture team  amazing company
1170,If you don't work in a major city you might not get as much attention as in a major city,Employee Perks\r\nFun Team\r\nSimple chain of command\r\nLots of room for personal initiative
1171,I honestly cant find a Con in my personal experience.,Uber prepares you and gives you the assets to succeed within the company. Theres so much room for growth that it keeps you extremely motivated to try your hardest to expand your knowledge within the Uber brand.
1172,"Politics. Too much of it. Left the company within a year since I could not handle the continuous nepotism, criticism etc of work. We are expected to work like crazy and anyone who does anything other than work is frowned upon. No work life balance. Not worth joining now that the upside is also not much. \n\nRecruiters talk trash of Uber being a $500 B company in the future. I would be surprised if they even sustain their current valuation.",Company is growing fast. Lots of technical challenges. Less of legacy baggage.
1173,"Personally, i cannot complaint about anything.","The company has an awesome and clear mission. Knowing that your work directly impacts mobility of millions of riders and income for millions of drivers is extremely motivating. In addition, working on innovation towards a robotic company is awesome. The environment is perfect for working towards challenging problems and there are no politics. Extremely talented and intelligent people around."
1174,After 3 months - none for now. Not saying that they won't appear. None job is perfect :),Young teams with amazing knowledge\r\nGreat atmosphere with social priveleges\r\nTeam binding every month\r\nTandem which will upgrade your skills\r\nWork which make you happy when solving problems\r\n#beyourself all the time
1175,So far I don't see any,"Work/ life balance, culture & values."
1176,"Only for people who like a challenge and thrive in a rewarding team environment...Not really con, is it ?! :-)","Fast-paced, dynamic, challenging, Fun and Very rewarding environment. \r\nSense of accomplishment and growth.\r\nSuperior Health benefits, Food, Snacks, Rides...\r\nI finally found my perfect environment!"
1177,Lots of work as working in small team,Working with a small but awesome team
1178,Long hours and tight deadlines can get stressful at times. Time management is key to success at Uber. People have the tendency to absorb themselves fully.,Exciting opportunities to grow into various roles. Real end to end exposure. Teams are highly motivated and driven to achieve high results. Passion for the cause is immense.
1179,Difficulties with current problems surrounding Uber.,"Flexibility, room for growth, intelligent colleagues, work/life balance."
1180,It can be intimidating.,"You're working with the brightest minds on the planet benefits, perks and attentiveness to both physical and mental health as overall well-being is unlike anything I've seen. Its absolutely mind-blowing to see your work almost instantaneously changing the world!"
1181,Long hours but in a very nice environment.,"Great working atmosphere, great people and great company culture."
1182,That this was only a temporary position,That is has a excellent work environment along with a wonderful staff.
1183,lot of pressure and cannot have private life,work with very pro people
1184,"the drivers (always having something negative to say) when they are not even working for uber as the company, they are partners... however working for Uber as employees we are always looking for a way to make things better for the drivers",* Flexibitly \r\n* Diversity \r\n* job security and advancement\r\n* work life balance\r\n* pay and benefits
1185,The team that I am part of is very small and there isnt too much room to move up or around. I would have to move to a larger city to see more career potential with Uber.  More a city con than a company one.,The people that I work with are all amazing.  Everyone is always in high spirit and makes the days go by so fast!  Uber is also always changing and expanding and because of that there are always new projects on the go.  Makes for a fun and adaptive environment to work in.
1186,"Lack of communications between departments, Hourly pay is not enough.","Great people to work with, smart and team players. Management also great, growing company and  options to move on within the company, and great benefits"
1187,Management will let u go for no reason with out warning,Great company to work for very friendly environment
1188,"- Apparently, a lack of transparency. I was oblivious to all of the scandals that have been in the news lately, which disturbs me.\r\n- If you don't believe in all the values, you won't fit in. The values are basically not available publicly, and I don't know if they are shared with candidates during recruiting, so make sure you find out what they are.\r\n- It seems like the IPO may be more elusive than at other startups. One starts to wonder if they are putting it off to squeeze more work out of the employees.\r\n- I don't know how common this is, but I was terminated, to the great sadness and detriment of my team, by a higher level manager for seemed like an irrelevant issue.\r\n- Remote work is severely discouraged.","- You get to be part of a historic change in the way people work. Whether that change is for the good will be up to history...\r\n- Some of the engineering challenges are interesting and hard and being tackled by few others. (Lots of other challenges are being tackled by lots of competitors, and I don't know whether they would be better to work for.)\r\n- Guided by a strong mission and set of core values. If you believe in them, you will fit in well and they can keep you going through the long hours."
1189,I think I've only a very personal comment which is about the time it takes to me to get on the COE. Nothing more.,"This is the best place I've ever seen! Uber is fully worried about employees' experience working in it and this is visible not only with direct employees, but with partners (as drivers) too! Love this place!"
1190,"No comments at time, maybe the Human resources to improve more attention in benefits parts","Can be me, I have many opportunities for improve my professional here. So hapy because i was recognized as suberwoman in LATAM. This is a great compensation."
1191,Not being recognized for the work you do and the experience you bring to the table.,Uber is a great place to work. The people are amazing and the environment is challenging.
1192,"The uncultured culture, the extreme lack of structure, the unchecked need to grow too fast, and the lack of guidance","The medical benefits are superb, the exposure to other countries is there, and the opportunity to gain experience is there."
1193,nothing everyones positive and delighting,great pay and a good learning experience
1194,there are none. All is ok.,Friendship. Values. All compensations and benefits.
1195,Nothing at this moment. I am very glad.,-Great enviroment.\r\n-Oportunity to grow.\r\n- A place to develop your persolanity.\r\n-You can be yourself.
1196,Could make more money somewhere else,"flexible schedule, casual work environment, catered lunch, good people to work alongside"
1197,"Some information might be hard to get, values aren't spread too well throughout the company","Friendly environment, nice recognition, a company that cares about their employees"
1198,I haven't found any yet,"Work environment, cafeteria's food, people"
1199,"Nothing at all, i love this job","Its simple, the best job in the world"
1200,Work-life balance might be a little too shifted to the work side,Always hustling and with the support of the most intelligent and amazing people
1201,I still can not find,Is the best job in the world
1202,None really.  Left as I wanted to get out of San Francisco.,"Fun, laid back environment with a good work culture."
1203,Lack of direction in a customer facing environment. Management is not aware on how to manage employees.,It's nice starting with a new company to get in from the ground up
1204,there is not much to say that i do not like so far! i think there should be more gym perks but thats about it!,exposure to lots of knowledge and new ideas . people that work here are very talented and have an amazing drive to success! they are also amazing people to hang out with !
1205,- Leadership needs improvement (at HQ),"- Amazing people: smart, driven, helpful, ambitious\r\n- Impactful work: transforming lives and cities\r\n- Trust in the employee\r\n- Rooting for you to succeed"
1206,"- No 401k (however, you're compensated with equity)","- Work on self driving technology (absolutely interesting stuff)\r\n- Close knit co-working environment (Pittsburgh)\r\n- Get setup with whatever you need (macbooks, standing desks, headphones, etc..)\r\n- Great work-life balance\r\n- Uber credits"
1207,Not a lot of growth in the city I am in. If I want to move upward I would have to relocate and I'd rather not leave my home state for I want to see it grow exponentially and contribute to my community and be close to family and friends. I love where I live and I don't want to give that up at this point.,Open-floor concept in all offices. Makes it feel more like a community than an office space. Hours are great and the pay is enough to get by with. Opportunities are endless but only if you're willing to move.
1208,"Obviously Uber is still a start-up (even though it's a really big one) and it has grown a lot, so many people are very inexperienced (even though they're super smart and hard working) and some things could be better organized, but I am optimistic about the future.","The people are really positive, smart and enthusiastic. I love the collaboration and team spirit. I also love solving real-world problems."
1209,"Poor communication, outsourced but wasn't upfront about it, poor listeners, had 401K setup but did not match, asked for a new manager as mine second one was awful, request denied. It was awful.","Absolutely no pros, unfortunately"
1210,"High pressured environment, that can often be relentless",Great culture and autonomy to grow
1211,"Things move at lightspeed, and as we've seen the last month, it's not always perfect as a result. People come to Uber to kick butt in the best possible way. If that's you, you're in for a treat. But that's necessarily for everyone.","Despite all the events over the last month, I see every day a truly incredible place where every single person can have tremendous impact. Uber holds itself to a high bar, and it certainly isn't perfect. But it's still a great place.\r\n\r\nUber has gotten larger, which just means I can't speak to every place in the company from first-hand knowledge. But from what I've seen with my own eyes in my area, the environment has been remarkably supportive, energizing, and positive.\r\n\r\nI've been at other companies where the environment was actually _systematically_ problematic, so perhaps my spectrum for judging company cultures is different from all the press we're getting. But that is not Uber. There's a remarkably high degree of transparency here, and a remarkably low degree of BS. Uber is under quite a lot of scrutiny, and in part that's a consequence of the company's success. The company has increased in size several-fold, and the culture is still growing up. Again, I can only speak to my own experience, but I've loved Uber from the moment I've joined and every day since, for the problems I work on, for the people I work with, for the trajectory I'm afforded, for the technical areas I have the opportunity to master, for the richness of the data, for the mission of the company, and for the company's earnest desire to always be improving. This place is for real, and the growth is real."
1212,"Many of the best engineers have moved on due to the chaotic work environment and management favoritism toward those creating new things, rather than successfully implementing or running things. Middle management is not supportive in any way. Managers will find and latch onto your flaws, using them as justification to keep you from receiving raises, or promotions. Several teams are traps, existing only to provide their manager with headcount, and struggle to find a purpose. There is next to no coaching, and no training. Teamwork is not valued, only delivering new things. New employees receive terrible credit benefits. The catered meals are a trap. There is a pattern to there not being enough seats at any of the cafeterias, so lunch must be taken at your desk, while dinner isn't served until 8:15pm.","Many very smart, motivated people to work with on big problems; if you're on the right team. A very fast pace of change. Nice, albeit overly-flashy, facilities. The best-run IT department I've ever had the pleasure of working with."
1213,There weren't many cos for me. I really enjoyed working with the company.,The money and hours were great. My coworker were fun
1214,* misconstrued values\r\n* some unilateral thinkers\r\n* performance process,* great people\r\n* great product\r\n* great perks and benefits\r\n* diverse\r\n* dynamic\r\n* high energy\r\n* continuously improving
1215,Always have to be available,"Innovative, little bureaucracy, best idea wins, flexible"
1216,A lot of processes are still unstructured. Ghosts from Uber's startup past still haunts the company's reputation worldwide,Working with Uber an adventure - you do different things and meet different people on a daily basis. Cross-functional and cross-regional work are facilitated by transparent discussions and collaborative team members. Be part of the online revolution.
1217,"- POLITICS (even if you try to avoid them you are negatively impacted)\n- Bad hires: In the beginning I think Uber hired a lot of great talent and good people but now it is growing so fast that they are not hiring well, and they are hiring a ton of jerks that do not care about the people or culture and make people feel like you should just be lucky to work at Uber. It's sad - a lot of good talented people are being treated poorly and no one seems to care.\n- No work life balance: expect to work all day, everyday and weekends and to feel like you are still not doing enough\n- No real recognition: Even if you work 24/7 and are good at what you do expect to be told you aren't doing enough and to wonder why you aren't being taken care of financially. This is leading to burn out and vets of the company leaving\n- Trust: Everyone is out to protect themselves and will throw you under the bus to look good really quickly, no one trusts anyone anymore","When I first started at Uber I was really excited and knew that there would be a ton of opportunity for growth professionally, and I knew it would be a challenge but I was ready to work hard. When I started in 2014 you could feel the energy and excitement, which has mostly gone away at this point. There are still a ton of great employees there and I made great connections. Free food and Uber credits are nice and they do have a good benefits package."
1218,"At Uber it is a fast-changing environment, work-life balance.","Excellent work culture, access to technology and resources, young and enthusiastic team with go-getter attitudes, fast-changing environment, ability to chart your own path and implement ideas"
1219,I don't have negative feedback for now.,I'm really happy how high skill level of engineering we have in our local office as well as in HQ. Also everyone in the team is very friendly and I would say that we have quite healthy atmosphere in the company overall.
1220,Uber is not for people who like things easy.,I feel like I'm taken care of at Uber. It's a job for passionate people who want to make an impact.
1221,I dont have any thing to say here soo far,"i got a leasing specialist position with uber like 3 months ago and i think i made my best decision so far , it is an impecable company to work for , nice manager nice co workers, they treat there people soo good"
1222,Intense!  The super day is back to back and they certainly test you,Very transparent about the role and the challenges people face.  Efficient and timely interview process. Everyone is honest and willing to give your their opinion.
1223,Pay could be increased more,Loved it for the while
1224,- Salary under market given the quality of the team\r\n- Work hard without paid extra hour,- Fast learning curve\r\n- Freedom to develop projects and skills\r\n- New challenges everyday\r\n- Perks
1225,None so far. maybe a little the stress handling.,"Great exposure, and very dynamic company."
1226,"Cannot think of any.  Long hours during busy seasons, but that's universal for all finance / accounting jobs.",Smart people to work with; supportive leadership; opportunity to work on interesting projects and sometimes even to build / shape things rather than just following an established procedure without knowing why.
1227,Sometimes the amount of work is overwhelming.,"Great people, great company, fast learning... super excited to be here!"
1228,None that I can think of,Professional team mates.\r\nExcellent management.\r\nVery good technical knowledge
1229,"- The performance review system is fundamentally broken. Who gets how much is a roll of the dice. Large initial equity grants blunt this to some extent though and management assures us it's being worked on so I'm cautiously optimistic. \r\n- While the culture of my own organization is good (people have integrity, women and minorities are treated respectfully by management), the bad behavior going on elsewhere still hurts.\r\n- Hours can be long but are flexible. You control your own destiny but it can be hard for some to unplug when necessary.\r\n- Almost all engineers are white, Indian or Chinese straight men. Not an overtly discriminatory environment but management does not demonstrate that they value diversity.","- Level of responsibility is way beyond anything I've experienced at other companies. \r\n- Huge potential for an individual engineer or small team to impact the business. \r\n- Easy to develop a strong sense of ownership for your part of the product. \r\n- Perks and benefits are really nice without being ridiculous (free snacks but not free laundry).\r\n- Coworkers are all very smart and hard working. Slackers are managed out. \r\n- Many opportunities to learn new technologies. \r\n- Real, tangible impact on how people move around cities, not just selling ads or building some nonsense app."
1230,I dont have cons\r\n\r\nNone\r\n\r\nThe soda\r\n\r\nThe cold\r\n\r\nI dont now jaja,The partners\r\nthe help whit others\r\nthe ambient from work
1231,"Fast moving means uncertainty.  If you're someone that loves working in startup culture then the job is for you, but if not then you'll struggle.","Fast pace culture.  If you're looking for a company where new ideas and fast moving product are the norm, Uber is your place.  Tons of perks, and the Chicago office is well positioned in the West Loop."
1232,"* Longer than normal hours (compared to other SV firms like Google and Facebook). The longer hours aren't imposed. It's more like you feel inspired to build or improve something that you own. \r\n* Bad brand PR. Uber is one of the most villified tech companies. While most employees believe these opinions to be based on misinformation, it's demoralizing to know some people see Uber as the \","* Opportunity for impact. The per-capita impact for each engineer is higher than most other tech firms. At Uber, each engineer has a real impact to the company's bottom-line. This really drives the ownership culture and is inspiring to see. \r\n* Culture that promotes standing up for what you believe in. If you feel strongly about something, the company encourages you to voice your opinion, even if there's a large discrepancy in rank. At the end of the day, the right idea should win.\r\n* Exponential personal growth.  The engineers who survive here will experience rapid growth in engineering abilities. I learned more in the first 6 months at Uber than I did in the previous 2 years at large tech behemoth. \r\n* Competitive compensation\r\n* Convenient perks - free food, monthly credits for Uber and UberEATS"
1233,"**Culture**\r\nThe culture at Uber is not healthy. Its move fast and only about results at all cost. The impact on our customers or employees does not matter. There has been much in the news about \r\n\r\n**Career Growth**\r\nThere is no career growth or logical career path. You are working to work and hoping that the equity would be worth something someday. There are re-orgs every 3 - 6 months which force you to learn new skill sets. \r\n\r\n**Management**\r\nFirst time managers are a huge problem with no training. Upper management does not care about the individual employees, all they care about is the business. \r\n\r\n**Compensation**\r\nEquity that has a 4 year vesting window and minimal cash. Do not expect to be liquid for a while",**Smart People**\r\nSmart People solving complex problems
1234,Stupid managers are quite bad,Perks and gym membership are good
1235,no flexibility in terms of working from home,very innovative technical stack and good
1236,"Outsourced almost all CSR jobs to a cheaper labor market (Manilla, Phillipines specifically)","Work From Home, Flexible Schedule, Full-Time, Fairly Friendly Online Atmosphere..."
